SentenceIndex,WordIndex,Token,Threshold
0,0,여섯,0.2
0,1,살,0.1
0,2,적에,0.2
0,3,나는,0.2
0,4,"체험한,0.4
0,5,이야기"라는,0.6
0,6,제목의,,0.4
0,7,원시림에,0.4
0,8,관한,0.2
0,9,책에서,0.3
0,10,기막힌,0.3
0,11,그림,0.2
0,12,하나를,0.3
0,13,본,0.1
0,14,적이,0.2
0,15,있다.,0.3
1,0,맹수를,0.3
1,1,집어삼키고,0.5
1,2,있는,0.2
1,3,보아,0.2
1,4,구렁이,0.3
1,5,그림이었다.,0.6
2,0,위의,0.2
2,1,그림은,0.3
2,2,그것을,0.3
2,3,옮겨,0.2
2,4,그린,0.2
2,5,것이다.,0.4
3,0,그,0.1
3,1,책에는,0.3
3,2,이렇게,0.3
3,3,씌어,0.2
3,4,있었다.,0.4
4,0,"보아,0.3
4,1,구렁이는,0.4
4,2,먹이를,0.3
4,3,씹지도,0.3
4,4,않고,0.2
4,5,통째로,0.3
4,6,집어삼킨다.,0.6
5,0,그리고는,0.4
5,1,꼼짝도,0.3
5,2,하지,0.2
5,3,못하고,0.3
5,4,여섯,0.2
5,5,달,0.1
5,6,동안,0.2
5,7,잠을,0.2
5,8,자면서,0.3
5,9,그것을,0.3
5,10,소화시킨다.",0.7
6,0,나는,0.2
6,1,그래서,0.3
6,2,밀림,0.2
6,3,속에서의,0.4
6,4,모험에,0.3
6,5,대해,0.2
6,6,한참,0.2
6,7,생각해,0.3
6,8,보고,0.2
6,9,난,0.1
6,10,끝에,0.2
6,11,색연필을,0.4
6,12,가지고,0.3
6,13,내,0.1
6,14,나름대로,0.4
6,15,내,0.1
6,16,생애,0.2
6,17,첫,0.1
6,18,번째,0.2
6,19,그림을,0.3
6,20,그려보았다.,0.6
7,0,나의,0.2
7,1,그림,0.2
7,2,제,0.1
7,3,1호였다.,0.5
8,0,그것은,0.3
8,1,이런,0.2
8,2,그림이었다.,0.6
9,0,나는,0.2
9,1,그,0.1
9,2,걸,0.1
9,3,작품을,0.3
9,4,어른들에게,0.5
9,5,보여,0.2
9,6,주면서,0.3
9,7,내,0.1
9,8,그림이,0.3
9,9,무섭지,0.3
9,10,않느냐고,0.4
9,11,물었다.,0.4
10,0,그들은,0.3
10,1,"모자가,0.4
10,2,뭐가,0.2
10,3,무섭다는,0.4
10,4,거니?",0.4
11,0,하고,0.2
11,1,대답했다.,0.5
12,0,내,0.1
12,1,그림은,0.3
12,2,모자를,0.3
12,3,그린,0.2
12,4,게,0.1
12,5,아니었다.,0.5
13,0,그것은,0.3
13,1,코끼리를,0.4
13,2,소화시키고,0.5
13,3,있는,0.2
13,4,보아,0.2
13,5,구렁이었다.,0.6
14,0,그래서,0.3
14,1,나는,0.2
14,2,어른들이,0.4
14,3,알아볼,0.3
14,4,수,0.1
14,5,있도록,0.3
14,6,보아,0.2
14,7,구렁이의,0.4
14,8,속을,0.2
14,9,그렸다.,0.4
15,0,어른들은,0.4
15,1,언제나,0.3
15,2,설명을,0.3
15,3,해주어야만,0.5
15,4,한다.,0.3
16,0,나의,0.2
16,1,그림,0.2
16,2,제,0.1
16,3,2호는,0.3
16,4,이러했다.,0.5
17,0,어른들은,0.4
17,1,속이,0.2
17,2,보이거나,0.4
17,3,보이지,0.3
17,4,않거나,0.3
17,5,하는,0.2
17,6,보아,0.2
17,7,구렁이의,0.4
17,8,그림들은,0.4
17,9,집어치우고,0.5
17,10,차라리,0.3
17,11,지리,,0.3
17,12,역사,,0.3
17,13,계산,,0.3
17,14,그리고,0.3
17,15,문법,0.2
17,16,쪽에,0.2
17,17,관심을,0.3
17,18,가져보는,0.4
17,19,게,0.1
17,20,좋을,0.2
17,21,것이라고,0.4
17,22,충고해,0.3
17,23,주었다.,0.4
18,0,그래서,0.3
18,1,나는,0.2
18,2,여섯,0.2
18,3,살,0.1
18,4,적에,0.2
18,5,화가라는,0.4
18,6,멋진,0.2
18,7,직업을,0.3
18,8,포기해,0.3
18,9,버렸다.,0.4
19,0,내,0.1
19,1,그림제,0.3
19,2,1호와,0.3
19,3,제,0.1
19,4,2호가,0.3
19,5,성공을,0.3
19,6,거두지,0.3
19,7,못한,0.2
19,8,데,0.1
19,9,낙심해,0.3
19,10,버렸던,0.3
19,11,것이다.,0.4
20,0,어른들은,0.4
20,1,언제나,0.3
20,2,스스로는,0.4
20,3,아무것도,0.4
20,4,이해하지,0.4
20,5,못한다.,0.4
21,0,자꾸,0.2
